"bldg_id","in.sqft","in.bedrooms","in.geometry_stories","in.hvac_cooling_type","in.hvac_heating_type","in.hvac_heating_efficiency","in.hvac_cooling_efficiency","in.hvac_has_ducts","in.county","in.occupants"
227723,1690,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","2"
227890,1690,3,1,"Room AC","Non-Ducted Heating","Electric Baseboard, 100% Efficiency","Room AC, EER 10.7","No","G4500410","5"
229065,1690,3,2,"Central AC","Ducted Heating","Fuel Furnace, 80% AFUE","AC, SEER 13","Yes","G4500410","3"
229949,2176,3,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 15","Yes","G4500410","2"
236739,3301,5,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","2"
238368,1220,3,1,"None","Non-Ducted Heating","Fuel Boiler, 90% AFUE","None","No","G4500410","1"
242178,8194,4,1,"None","Non-Ducted Heating","Electric Baseboard, 100% Efficiency","None","No","G4500410","3"
246257,1690,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","1"
248677,2176,3,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 15, 8.5 HSPF","Heat Pump","Yes","G4500410","2"
249124,885,2,1,"Central AC","Ducted Heating","Fuel Furnace, 92.5% AFUE","AC, SEER 15","Yes","G4500410","2"
249209,1690,4,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","1"
249817,1690,3,2,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","3"
264693,1690,3,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","1"
268947,1690,3,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 10, 6.2 HSPF","Heat Pump","Yes","G4500410","2"
275359,2176,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 15","Yes","G4500410","3"
277125,1690,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 15","Yes","G4500410","1"
284548,2663,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","2"
288115,1690,4,1,"Central AC","Ducted Heating","Fuel Furnace, 76% AFUE","AC, SEER 15","Yes","G4500410","2"
293482,2663,4,1,"Central AC","Non-Ducted Heating","Electric Baseboard, 100% Efficiency","AC, SEER 13","Yes","G4500410","2"
293604,1690,2,1,"Central AC","Non-Ducted Heating","Electric Baseboard, 100% Efficiency","AC, SEER 10","Yes","G4500410","1"
295642,1690,2,1,"Central AC","Ducted Heating","Fuel Furnace, 80% AFUE","AC, SEER 10","Yes","G4500410","3"
297304,2663,5,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","2"
298803,328,1,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","1"
299346,2176,4,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","5"
303703,1690,4,1,"Room AC","Non-Ducted Heating","Fuel Wall/Floor Furnace, 60% AFUE","Room AC, EER 10.7","No","G4500410","2"
323050,2663,4,1,"Central AC","Ducted Heating","Fuel Furnace, 60% AFUE","AC, SEER 10","Yes","G4500410","1"
324623,2176,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","1"
328534,885,2,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","3"
330689,1690,3,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 15, 8.5 HSPF","Heat Pump","Yes","G4500410","1"
337428,2176,4,2,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","3"
338697,1690,3,1,"Room AC","Ducted Heating","Electric Furnace, 100% AFUE","Room AC, EER 9.8","Yes","G4500410","1"
339613,1690,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","3"
339963,1690,4,1,"Central AC","Non-Ducted Heating","Fuel Wall/Floor Furnace, 68% AFUE","AC, SEER 13","Yes","G4500410","1"
